ChineseName,EnglishName,Team,deltaRanking,MarketValue,VarianceofScore,MeanOfScore,Colour
齐耶赫,Hakim Ziyech,Morocco,19,2000,0.976347619,6.881428571,"rgb(134,39,33)"
萨比里,Abdelhamid Sabiri,Morocco,19,400,0.53378,6.614,"rgb(134,39,33)"
塞利姆·阿马拉,Selim Amallah,Morocco,19,650,0.010647619,6.421428571,"rgb(134,39,33)"
塔格诺提,Ahmed Reda Tagnaouti,Morocco,19,180,0,0,"rgb(134,39,33)"
瓦利德·切迪拉,Walid Cheddira,Morocco,19,600,0,6.23,"rgb(134,39,33)"
乌纳西,Azzedine Ounahi,Morocco,19,1500,0.036490476,6.717142857,"rgb(134,39,33)"
亚希亚·阿迪亚特·阿拉,Yahia Attiyat Allah,Morocco,19,250,0.13688,6.27,"rgb(134,39,33)"
叶海亚·贾布拉内,Yahya Jabrane,Morocco,19,190,0,5.99,"rgb(134,39,33)"
伊利亚斯·切尔,Ilias Chair,Morocco,19,1000,0,6.9,"rgb(134,39,33)"
C·罗纳尔多,Cristiano Ronaldo,Portuguesa,19,2000,0.70033,6.416,"rgb(0,139,69)"
安德烈·席尔瓦,André Silva,Portuguesa,19,2400,0,6.3,"rgb(0,139,69)"
安东尼奥·席尔瓦,António Silva,Portuguesa,19,1500,0,6.25,"rgb(0,139,69)"
奥尔塔,Ricardo Horta,Portuguesa,19,2000,0.528933333,6.476666667,"rgb(0,139,69)"
奥塔维奥,Otávio,Portuguesa,19,3000,0.009025,6.8875,"rgb(0,139,69)"
贝尔纳多·席尔瓦,Bernardo Silva,Portuguesa,19,8000,1.14057,6.842,"rgb(0,139,69)"
布鲁诺·费尔南德斯,Bruno Fernandes,Portuguesa,19,7500,0.109433333,7.923333333,"rgb(0,139,69)"
达洛特,Diogo Dalot,Portuguesa,19,3200,0.34,7.3,"rgb(0,139,69)"
迪奥戈·科斯塔,Diogo Costa,Portuguesa,19,3500,0.45848,6.366,"rgb(0,139,69)"
贡萨洛·拉莫斯,Gon?alo Ramos,Portuguesa,19,3000,3.542691667,5.1125,"rgb(0,139,69)"
坎塞洛,Jo?o Cancelo,Portuguesa,19,7000,0.141558333,6.7825,"rgb(0,139,69)"
拉斐尔·格雷罗,Rapha?l Guerreiro,Portuguesa,19,2000,0.794891667,6.8975,"rgb(0,139,69)"
拉斐尔·莱奥,Rafael Le?o,Portuguesa,19,8500,0.39625,6.71,"rgb(0,139,69)"
鲁本·迪亚斯,Rúben Dias,Portuguesa,19,7500,0.013491667,6.3575,"rgb(0,139,69)"
马修斯·努内斯,Matheus Nunes,Portuguesa,19,4500,0.06125,6.525,"rgb(0,139,69)"
内维斯,Rúben Neves,Portuguesa,19,4000,0.13863,6.546,"rgb(0,139,69)"
帕利尼亚,Jo?o Palhinha,Portuguesa,19,2800,0.031033333,6.303333333,"rgb(0,139,69)"
帕特里西奥,Rui Patrício,Portuguesa,19,500,0,0,"rgb(0,139,69)"
佩佩,Pepe,Portuguesa,19,100,0.3329,6.955,"rgb(0,139,69)"
若昂·马里奥,Jo?o Mário,Portuguesa,19,1200,0.125,6.13,"rgb(0,139,69)"
若奥·菲利克斯,Jo?o Félix,Portuguesa,19,5000,1.316025,7.1225,"rgb(0,139,69)"
若泽·萨,José Sá,Portuguesa,19,1800,0,0,"rgb(0,139,69)"
威廉·卡瓦略,William Carvalho,Portuguesa,19,1600,0.032825,6.7775,"rgb(0,139,69)"
维蒂尼亚,Vitinha,Portuguesa,19,4500,0.145033333,6.403333333,"rgb(0,139,69)"
